Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Leonin Lightscribe",2,"Creature - Cat Cleric",W,"stx","20",rare,w,Owned,Non-foil,false,,,"core;spells;wide;tokens;aggro","",88517
"Phantom Nomad",2,"Creature - Spirit Nomad",W,"jud","17",common,w,Owned,Non-foil,false,,,"core;counters;aggro;control","",17384
"Relic Seeker",2,"Creature - Human Soldier",W,"ori","29",rare,w,Not Owned,Non-foil,false,,,"humans;artifacts;counters;tappers;soldiers;aggrocontrol;u2.0;u3.8;core;aggro","",58158
"Seasoned Hallowblade",2,"Creature - Human Warrior",W,"m21","34",uncommon,w,Owned,Non-foil,false,,,"core;graveyard;humans;aggrocontrol;reanimator;aggro","",81295
"Seeker of the Way",2,"Creature - Human Warrior",W,"ktk","22",uncommon,w,Owned,Non-foil,false,,,"core;spells;lifegain;humans;aggrocontrol;aggro;control","",54270
"Serene Steward",2,"Creature - Human Cleric Ally",W,"bfz","46",uncommon,w,Owned,Non-foil,false,,,"core;lifegain;lifegain_payoff;humans;aggro;control","",58649
"Shepherd of the Flock",2,"Creature - Human Peasant",W,"eld","28",uncommon,w,Owned,Non-foil,false,,,"core;blink;spells;flash;humans;aggro;aggrocontrol","",78152
"Soulfire Grand Master",2,"Creature - Human Monk",W,"frf","27",mythic,White,Owned,Non-foil,false,,,"occasional","",55614
"Stone Haven Pilgrim",2,"Creature - Kor Cleric",W,"jmp","6",uncommon,w,Owned,Non-foil,false,,,"core;artifacts;lifegain;aggro;control","",81759
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"sld","37",rare,w,Owned,Non-foil,false,,,"occasional","",
"Thalia's Lieutenant",2,"Creature - Human Soldier",W,"c20","103",rare,w,Owned,Non-foil,false,,,"core;humans;counters;aggro","",
"Abzan Falconer",3,"Creature - Human Soldier",W,"cm2","15",uncommon,w,Owned,Non-foil,false,,,"occasional","",
"Attended Knight",3,"Creature - Human Knight",W,"m13","5",common,w,Not Owned,Non-foil,false,,,"humans;blink;tokens;sacrifice;wide;stax;soldiers;u2.80;core;aggro;control","",45492
"Benalish Marshal",3,"Creature - Human Knight",W,"gnt","8",rare,w,Owned,Non-foil,false,,,"occasional","",
"Bygone Bishop",3,"Creature - Spirit Cleric",W,"soi","8",rare,w,Owned,Non-foil,false,,,"u4.9.3;u2.77;fliers;artifacts;aggrocontrol;manasink;core;aggro","",60212
"Elite Spellbinder",3,"Creature - Human Cleric",W,"stx","17",rare,w,Owned,Non-foil,false,,,"core;aggrocontrol;fliers;humans;aggro","",88511
"Flickerwisp",3,"Creature - Elemental",W,"mma","16",uncommon,w,Not Owned,Non-foil,false,,,"fliers;blink;evasion;aggrocontrol;u2.0;core;aggro;control","",48776
"Mangara of Corondor",3,"Legendary Creature - Human Wizard",W,"bbd","98",rare,w,Owned,Non-foil,false,,,"occasional","",
"Mentor of the Meek",3,"Creature - Human Soldier",W,"m19","27",rare,w,Owned,Non-foil,false,,,"occasional","",68215
"Ministrant of Obligation",3,"Creature - Human Cleric",W,"rna","16",uncommon,w,Owned,Non-foil,false,,,"core;sacrifice;tokens;fliers;humans;control","",71032
"Resplendent Marshal",3,"Creature - Angel Warrior",W,"khm","22",mythic,w,Owned,Non-foil,false,,,"occasional","",87367
"Soltari Crusader",3,"Creature - Soltari Knight",W,"tmp","41",uncommon,w,Owned,Non-foil,false,,,"occasional","",10123
"Twilight Drover",3,"Creature - Spirit",W,"ddk","9",rare,w,Owned,Non-foil,false,,,"occasional","",48171
"Brigid, Hero of Kinsbaile",4,"Legendary Creature - Kithkin Archer",W,"lrw","6",rare,w,Owned,Non-foil,false,,,"occasional","",28507
"Daghatar the Adamant",4,"Legendary Creature - Human Warrior",W,"frf","9",rare,White,Owned,Non-foil,false,,,"core;manasink;humans;counters;aggro","",55316
"Emeria Angel",4,"Creature - Angel",W,"ima","20",rare,w,Owned,Non-foil,false,,,"u2.0;u4.9.3;fliers;tokens;ramp;wide;occasional","",65919
"Galepowder Mage",4,"Creature - Kithkin Wizard",W,"ddi","12",rare,w,Owned,Non-foil,false,,,"occasional","",43664
"High Sentinels of Arashin",4,"Creature - Bird Soldier",W,"ktk","13",rare,w,Owned,Non-foil,false,,,"occasional","",54286
"Hundred-Handed One",4,"Creature - Giant",W,"ths","20",rare,w,Not Owned,Non-foil,false,,,"counters;manasink;ramp;enrage;u2.63;u2.77;occasional","",50372
"Magus of the Disk",4,"Creature - Human Wizard",W,"c20","94",rare,w,Owned,Non-foil,false,,,"core;humans;wizards;wrath;artifact_removal;enchantment_removal;control;removal","",
"Meadowboon",4,"Creature - Elemental",W,"mor","17",uncommon,w,Owned,Non-foil,false,,,"occasional","",29240
"Odric, Lunarch Marshal",4,"Legendary Creature - Human Soldier",W,"c20","95",rare,w,Owned,Non-foil,false,,,"occasional","",
"Rhox Veteran",4,"Creature - Rhino Soldier",W,"mh1","24",common,w,Owned,Non-foil,false,,,"core;tokens;wide;tappers;aggro","",72420
"Visionary Augmenter",4,"Creature - Dwarf Artificer",W,"kld","34",uncommon,w,Owned,Non-foil,false,,,"core;counters;tokens;artifacts;wide;sacrifice;blink","",61617
"Archon of Justice",5,"Creature - Archon",W,"m12","6",rare,w,Owned,Non-foil,false,,,"core;ramp;fliers;control;sacrifice","",41161
"Aven Gagglemaster",5,"Creature - Bird Warrior",W,"m21","5",uncommon,w,Owned,Non-foil,false,,,"occasional","",81237
"Belfry Spirit",5,"Creature - Spirit",W,"gk2","29",uncommon,w,Owned,Non-foil,false,,,"occasional","",
"Constable of the Realm",5,"Creature - Giant Soldier",W,"mh2","10",uncommon,w,Owned,Non-foil,false,,,"core;counters_payoff;counters","",90389
"Serra Angel",5,"Creature - Angel",W,"gnt","16",uncommon,w,Owned,Non-foil,false,,,"occasional","",
"Sunscorch Regent",5,"Creature - Dragon",W,"dtk","41",rare,w,Owned,Non-foil,false,,,"occasional","",56196
"Felidar Sovereign",6,"Creature - Cat Beast",W,"bfz","26",rare,w,Owned,Non-foil,false,,,"occasional","",58283
"Twilight Shepherd",6,"Creature - Angel",W,"shm","25",rare,w,Owned,Non-foil,false,,,"control;occasional","",29595
"Angel of Serenity",7,"Creature - Angel",W,"cm2","16",mythic,w,Owned,Non-foil,false,,,"occasional","",
"Eternal Dragon",7,"Creature - Dragon Spirit",W,"c20","88",rare,w,Owned,Non-foil,false,,,"ramp;graveyard;smoothing;fliers;control;reanimator;occasional","",
"Sephara, Sky's Blade",7,"Legendary Creature - Angel",W,"m20","36",rare,w,Owned,Non-foil,false,,,"occasional","",72971
"Akroma, Angel of Wrath",8,"Legendary Creature - Angel",W,"c20","73",mythic,w,Owned,Non-foil,false,,,"occasional","",
"Myojin of Cleansing Fire",8,"Legendary Creature - Spirit",W,"chk","35",rare,w,Owned,Non-foil,false,,,"occasional","",21215
"Condemn",1,"Instant",W,"dis","8",uncommon,w,Owned,Non-foil,false,,,"occasional","",24253
"Emerge Unscathed",1,"Instant",W,"roe","20",uncommon,w,Not Owned,Non-foil,false,,,"heroic;spells;flash;aggrocontrol;u3.4;core;aggro","",36714
"Fight as One",1,"Instant",W,"iko","12",uncommon,w,Owned,Non-foil,false,,,"core;humans;heroic;aggrocontrol;spells;flash;aggro","",80033
"Mana Tithe",1,"Instant",W,"plc","25",common,w,Owned,Non-foil,false,,,"occasional","",26511
"Path to Exile",1,"Instant",W,"md1","3",uncommon,w,Owned,Non-foil,false,,,"core;removal;spells;flash;aggro;control","",
"Swords to Plowshares",1,"Instant",W,"bbd","110",uncommon,w,Owned,Non-foil,false,,,"core;spells;control;flash;removal;aggro","",
"Take Heart",1,"Instant",W,"grn","28",common,w,Owned,Non-foil,false,,,"occasional","",69429
"Fateful Absence",2,"Instant",W,"mid","18",rare,w,Owned,Non-foil,false,,,"core;aggro;removal;spells;flash;aggrocontrol","",92962
"Guided Strike",2,"Instant",W,"ima","23",common,w,Owned,Non-foil,false,,,"occasional","",65925
"Redeem the Lost",2,"Instant",W,"mor","21",uncommon,w,Owned,Non-foil,false,,,"occasional","",28980
"Shelter",2,"Instant",W,"mh1","28",common,w,Owned,Non-foil,false,,,"occasional","",72428
"Shining Shoal",2,"Instant - Arcane",W,"bok","21",rare,w,Owned,Non-foil,false,,,"occasional","",21773
"You Hear Something on Watch",2,"Instant",W,"afr","42",common,w,Owned,Non-foil,false,,,"core;tokens;wide;removal;control;spells;flash;aggro","",91586
"Blinding Beam",3,"Instant",W,"mrd","7",common,w,Not Owned,Non-foil,false,,,"tappers;flash;spells;aggrocontrol;u3.0;core;aggro","",19773
"Embolden",3,"Instant",W,"ody","22",common,w,Owned,Non-foil,false,,,"occasional","",17029
"Prismatic Strands",3,"Instant",W,"c19","69",common,w,Owned,Non-foil,false,,,"occasional","",77252
"Pulse of the Fields",3,"Instant",W,"dst","11",rare,w,Owned,Non-foil,false,,,"occasional","",20487
"Safe Passage",3,"Instant",W,"m13","30",common,w,Owned,Non-foil,false,,,"occasional","",45296
"Chastise",4,"Instant",W,"9ed","9",uncommon,w,Owned,Non-foil,false,,,"spells;lifegain;control;flash;removal;occasional","",22697
"Refraction Trap",4,"Instant - Trap",W,"wwk","17",uncommon,w,Owned,Non-foil,false,,,"core;flash;spells;aggrocontrol;removal;aggro","",35767
"Arrow Volley Trap",5,"Instant - Trap",W,"ddn","71",uncommon,w,Owned,Non-foil,false,,,"occasional","",
"Second Thoughts",5,"Instant",W,"ema","27",common,w,Owned,Non-foil,false,,,"occasional","",60693
"Gird for Battle",1,"Sorcery",W,"grn","12",uncommon,w,Not Owned,Non-foil,false,,,"counters;heroic;spells;aggrocontrol;u4.6.4;occasional","",69397
"Balance",2,"Sorcery",W,"ema","2",mythic,w,Owned,Non-foil,false,,,"occasional","",60981
"Divine Gambit",2,"Sorcery",W,"khm","8",uncommon,w,Owned,Non-foil,false,,,"core;spells;removal;artifact_removal;enchantment_removal;aggro;control","",87335
"Angelic Purge",3,"Sorcery",W,"soi","3",common,w,Owned,Non-foil,false,,,"core;removal;sacrifice;spells;aggro","",59756
"Sevinne's Reclamation",3,"Sorcery",W,"c19","5",rare,w,Owned,Non-foil,false,,,"core;manasink;graveyard;spells;aggro","",77064
"Day of Judgment",4,"Sorcery",W,"zen","9",rare,w,Not Owned,Non-foil,false,,,"control;spells;wrath;u2.0;removal;core;control","",34552
"Decree of Justice",4,"Sorcery",W,"c20","85",rare,w,Owned,Non-foil,false,,,"occasional","",
"Great Teacher's Decree",4,"Sorcery",W,"dtk","21",uncommon,w,Not Owned,Non-foil,false,,,"tokens;spells;wide;u3.9;occasional;fliers","",55954
"Sram's Expertise",4,"Sorcery",W,"aer","24",rare,w,Owned,Non-foil,false,,,"occasional","",62609
"Wrath of God",4,"Sorcery",W,"ema","38",rare,w,Owned,Non-foil,false,,,"occasional","",60649
"Akroma's Vengeance",6,"Sorcery",W,"c20","74",rare,w,Owned,Non-foil,false,,,"occasional","",
"Catastrophe",6,"Sorcery",W,"usg","6",rare,w,Owned,Non-foil,false,,,"occasional","",12283
"Approach of the Second Sun",7,"Sorcery",W,"akh","4",rare,w,Owned,Non-foil,false,,,"occasional","",63610
"Hour of Reckoning",7,"Sorcery",W,"c19","65",rare,w,Owned,Non-foil,false,,,"occasional","",77244
"Ancestral Blade",2,"Artifact - Equipment",W,"m20","3",uncommon,w,Not Owned,Non-foil,false,,,"artifacts;tokens;heroic;soldiers;u4.7.7;core;fliers;aggro;control","",72905
"Glass Casket",2,"Artifact",W,"eld","15",uncommon,w,Owned,Non-foil,false,,,"artifacts;removal;core;aggro;control","",78122
"Potion of Healing",2,"Artifact",W,"afr","34",common,w,Owned,Non-foil,false,,,"occasional","",91570
"Cleric Class",1,"Enchantment - Class",W,"afr","6",uncommon,w,Owned,Non-foil,false,,,"occasional","",91514
"Legion's Landing",1,"Legendary Enchantment",W,"xln","22",rare,w,Owned,Non-foil,false,,,"occasional","",65054
"Myth Realized",1,"Enchantment",W,"dtk","26",rare,w,Owned,Non-foil,false,,,"occasional","",56212
"All That Glitters",2,"Enchantment - Aura",W,"eld","2",uncommon,w,Owned,Non-foil,false,,,"core;artifacts;heroic;aggro","",78090
"Dawn of Hope",2,"Enchantment",W,"grn","8",rare,w,Not Owned,Non-foil,false,,,"flash;lifegain;tokens;sacrifice;manasink;wide;soldiers;u4.6.1;core;lifegain_payoff;control","",69389
"Intangible Virtue",2,"Enchantment",W,"ema","15",uncommon,w,Owned,Non-foil,false,,,"occasional","",60725
"Journey to Nowhere",2,"Enchantment",W,"zen","14",common,w,Owned,Non-foil,false,,,"occasional","",34390
"Rune of Sustenance",2,"Enchantment - Aura Rune",W,"khm","25",uncommon,w,Owned,Non-foil,false,,,"core;heroic;artifacts;lifegain;aggro","",87373
"Abiding Grace",3,"Enchantment",W,"mh2","1",uncommon,w,Owned,Non-foil,false,,,"occasional","",90371
"Cage of Hands",3,"Enchantment - Aura",W,"pca","4",common,w,Owned,Non-foil,false,,,"occasional","",
"Glorious Anthem",3,"Enchantment",W,"10e","17",rare,w,Owned,Non-foil,false,,,"wide;tokens;occasional","",27288
"Griffin Guide",3,"Enchantment - Aura",W,"tsp","21",uncommon,w,Owned,Non-foil,false,,,"occasional","",25567
"Lashknife Barrier",3,"Enchantment",W,"pls","9",uncommon,w,Owned,Non-foil,false,,,"occasional","",15257
"Nine Lives",3,"Enchantment",W,"m21","28",rare,w,Owned,Non-foil,false,,,"occasional","",81283
"Oblivion Ring",3,"Enchantment",W,"arc","3",common,w,Not Owned,Non-foil,false,,,"artifact_removal;enchantment_removal;u2.0;removal;occasional","",
"Prison Term",3,"Enchantment - Aura",W,"shm","18",uncommon,w,Owned,Non-foil,false,,,"occasional","",29411
"Promise of Bunrei",3,"Enchantment",W,"a25","30",uncommon,w,Owned,Non-foil,false,,,"core;sacrifice;tokens;aggro","",66974
"Recumbent Bliss",3,"Enchantment - Aura",W,"eve","13",common,w,Not Owned,Non-foil,false,,,"lifegain;u2.0;u3.4;removal;core;aggro;control","",30100
"Anointed Procession",4,"Enchantment",W,"akh","2",rare,w,Owned,Non-foil,false,,,"occasional","",63606
"Faith's Fetters",4,"Enchantment - Aura",W,"rav","16",common,w,Not Owned,Non-foil,false,,,"lifegain;artifact_removal;control;u2.0;removal;core","",23020
"Force of Virtue",4,"Enchantment",W,"mh1","10",rare,w,Owned,Non-foil,false,,,"occasional","",72392
"Righteous Cause",5,"Enchantment",W,"cma","21",uncommon,w,Owned,Non-foil,false,,,"occasional","",
"Cloudfin Raptor",1,"Creature - Bird Mutant",U,"gtc","32",common,u,Not Owned,Non-foil,false,,,"fliers;counters;evasion;wide;aggrocontrol;u2.63;occasional","",47523
"Delver of Secrets",1,"Creature - Human Wizard ",U,"isd","51",common,u,Not Owned,Non-foil,false,,,"wizards;humans;spells;evasion;aggrocontrol;u2.0;u3.4;core;aggro","",42436
"Drifter il-Dal",1,"Creature - Human Wizard",U,"tsp","59",common,u,Owned,Non-foil,false,,,"occasional","",25479
"Enclave Cryptologist",1,"Creature - Merfolk Wizard",U,"roe","66",uncommon,u,Owned,Non-foil,false,,,"occasional","",36660
"Hedron Crab",1,"Creature - Crab",U,"zen","47",uncommon,u,Owned,Non-foil,false,,,"core;mill;graveyard;control","",34460
"Pteramander",1,"Creature - Salamander Drake",U,"rna","47",uncommon,u,Owned,Non-foil,false,,,"fliers;spells;flash;graveyard;counters;occasional","",71094
"Siren Stormtamer",1,"Creature - Siren Pirate Wizard",U,"xln","79",uncommon,u,Not Owned,Non-foil,false,,,"wizards;fliers;flash;wide;heroic;evasion;aggrocontrol;u3.3;core;aggro","",65172
"Spectral Sailor",1,"Creature - Spirit Pirate",U,"m20","76",uncommon,u,Not Owned,Non-foil,false,,,"flash;fliers;manasink;wide;evasion;aggrocontrol;u4.7.7;occasional","",73051
"Baral, Chief of Compliance",2,"Legendary Creature - Human Wizard",U,"aer","28",rare,u,Owned,Non-foil,false,,,"occasional","",62653
"Brineborn Cutthroat",2,"Creature - Merfolk Pirate",U,"m20","50",uncommon,u,Not Owned,Non-foil,false,,,"flash;aggrocontrol;u4.7.7;core;aggro","",72999
"Daring Saboteur",2,"Creature - Human Pirate",U,"xln","49",rare,u,Owned,Non-foil,false,,,"core;aggrocontrol;graveyard;manasink;tappers;humans;aggro","",65110
"Fae of Wishes",2,"Creature - Faerie Wizard ",U,"eld","44",rare,u,Not Owned,Non-foil,false,,,"fliers;graveyard;spells;wizards;evasion;u4.8;core;control","",78192
"Ghostly Pilferer",2,"Creature - Spirit Rogue",U,"m21","52",rare,u,Owned,Non-foil,false,,,"core;graveyard;aggrocontrol;rogues;tappers;manasink;aggro","",81331
"Lighthouse Chronologist",2,"Creature - Human Wizard",U,"roe","75",mythic,u,Owned,Non-foil,false,,,"occasional","",36574
"Merfolk Trickster",2,"Creature - Merfolk Wizard",U,"dom","56",uncommon,u,Not Owned,Non-foil,false,,,"wizards;flash;blink;tappers;aggrocontrol;u4.7.10;core;aggro","",67577
"Mystic Archaeologist",2,"Creature - Human Wizard",U,"m19","63",rare,u,Owned,Non-foil,false,,,"occasional","",68287
"Nightveil Sprite",2,"Creature - Faerie Rogue",U,"grn","48",uncommon,u,Owned,Non-foil,false,,,"core;rogues;fliers;aggrocontrol;smoothing;graveyard;aggro","",69469
"Spellskite",2,"Artifact Creature - Horror",U,"mm2","230",rare,u,Owned,Non-foil,false,,,"occasional","",57318
"Thassa's Oracle",2,"Creature - Merfolk Wizard",U,"thb","73",rare,u,Owned,Non-foil,false,,,"core;wizards;control;blink","",79270
"Thought Courier",2,"Creature - Human Wizard",U,"5dn","38",common,u,Not Owned,Non-foil,false,,,"humans;wizards;graveyard;control;u4.9;smoothing;core","",20914
"Waterfront Bouncer",2,"Creature - Merfolk Spellshaper",U,"mmq","114",common,u,Owned,Non-foil,false,,,"occasional","",13175
"Wharf Infiltrator",2,"Creature - Human Horror",U,"emn","80",rare,u,Owned,Non-foil,false,,,"occasional","",61332
"Aether Adept",3,"Creature - Human Wizard",U,"m11","41",common,u,Owned,Non-foil,false,,,"humans;wizards;aggrocontrol;blink;u2.63;u2.80;u4.9.2;core;aggro","",37390
"Champion of Wits",3,"Creature - Naga Wizard",U,"hou","31",rare,u,Not Owned,Non-foil,false,,,"zombies;wizards;graveyard;heroic;manasink;blink;tokens;reanimator;u3.4;smoothing;occasional","",64546
"Frost Trickster",3,"Creature - Bird Wizard",U,"stx","43",common,u,Owned,Non-foil,false,,,"fliers;wizards;tappers;core;blink;aggrocontrol;aggro","",88563
"Grand Architect",3,"Creature - Vedalken Artificer",U,"som","33",rare,u,Owned,Non-foil,false,,,"occasional","",38193
"Grazilaxx, Illithid Scholar",3,"Legendary Creature - Horror",U,"afr","60",rare,u,Owned,Non-foil,false,,,"aggrocontrol;blink;fliers;core;aggro","",91622
"Master of Etherium",3,"Artifact Creature - Vedalken Wizard",U,"c16","92",rare,u,Owned,Non-foil,false,,,"occasional","",
"Nimble Obstructionist",3,"Creature - Bird Wizard",U,"hou","40",rare,u,Not Owned,Non-foil,false,,,"wizards;fliers;flash;evasion;aggrocontrol;u3.2;core;aggro;control","",64564
"Patron Wizard",3,"Creature - Human Wizard",U,"ody","89",rare,u,Owned,Non-foil,false,,,"occasional","",16875
"Prodigal Sorcerer",3,"Creature - Human Wizard",U,"ema","67",uncommon,u,Not Owned,Non-foil,false,,,"humans;pingers;wizards;u2.89;u3.4;occasional","",60893
"Sea Gate Oracle",3,"Creature - Human Wizard",U,"mm3","48",common,u,Not Owned,Non-foil,false,,,"wizards;humans;blink;u2.0;smoothing;core;control","",63225
"Shu Yun, the Silent Tempest",3,"Legendary Creature - Human Monk",U,"frf","52",rare,Blue,Owned,Non-foil,false,,,"occasional","",55342
"Soulknife Spy",3,"Creature - Elf Rogue",U,"afr","75",common,u,Owned,Non-foil,false,,,"core;elves;aggrocontrol;aggro","",91652
"Thassa, God of the Sea",3,"Legendary Enchantment Creature - God",U,"ths","66",mythic,u,Owned,Non-foil,false,,,"occasional","",50306
"Trinket Mage",3,"Creature - Human Wizard",U,"som","48",uncommon,u,Not Owned,Non-foil,false,,,"wizards;humans;artifacts;blink;stax;u2.61;u3.2;core;aggro;control","",38255
"Wake Thrasher",3,"Creature - Merfolk Soldier",U,"eve","31",rare,u,Not Owned,Non-foil,false,,,"soldiers;aggrocontrol;u2.0;occasional","",30196
"Clever Impersonator",4,"Creature - Shapeshifter",U,"c19","82",mythic,u,Owned,Non-foil,false,,,"core;aggro;control","",77278
"Clone",4,"Creature - Shapeshifter",U,"m14","47",rare,u,Owned,Non-foil,false,,,"occasional","",49591
"Inga Rune-Eyes",4,"Legendary Creature - Human Wizard",U,"khm","64",uncommon,u,Owned,Non-foil,false,,,"core;wizards;humans;sacrifice;smoothing;aggro;control","",87455
"Master of Waves",4,"Creature - Merfolk Wizard",U,"ths","53",mythic,u,Owned,Non-foil,false,,,"occasional","",50550
"Murmuring Mystic",4,"Creature - Human Wizard",U,"grn","45",uncommon,u,Not Owned,Non-foil,false,,,"wizards;humans;spells;tokens;enrage;evasion;u4.6.1;occasional","",69463
"Naru Meha, Master Wizard",4,"Legendary Creature - Human Wizard",U,"dom","59",mythic,u,Owned,Non-foil,false,,,"core;wizards;humans;spells;flash","",67583
"Ninja of the Deep Hours",4,"Creature - Human Ninja",U,"c18","95",common,u,Owned,Non-foil,false,,,"core;tappers;aggrocontrol;fliers;humans;aggro","",
"Djinn of Wishes",5,"Creature - Djinn",U,"c18","87",rare,u,Owned,Non-foil,false,,,"occasional","",
"Mulldrifter",5,"Creature - Elemental",U,"c20","117",uncommon,u,Owned,Non-foil,false,,,"occasional","",
"Willbreaker",5,"Creature - Human Wizard",U,"ori","84",rare,u,Not Owned,Non-foil,false,,,"wizards;humans;pingers;heroic;u3.9;occasional","",57774
"Arcanis the Omnipotent",6,"Legendary Creature - Wizard",U,"ons","66",rare,u,Owned,Non-foil,false,,,"occasional","",17871
"Draining Whelk",6,"Creature - Illusion",U,"tsp","57",rare,u,Owned,Non-foil,false,,,"occasional","",25587
"Ethereal Forager",6,"Creature - Elemental Whale",U,"c20","34",rare,u,Owned,Non-foil,false,,,"core;fliers;graveyard;spells;aggro;control;aggrocontrol","",80649
"Geralf's Mindcrusher",6,"Creature - Zombie Horror",U,"dka","37",rare,u,Owned,Non-foil,false,,,"ramp;mill;control;zombies;core","",43401
"Angler Turtle",7,"Creature - Turtle",U,"g18","GP2",rare,u,Owned,Non-foil,false,,,"occasional","",
"Quicksilver Gargantuan",7,"Creature - Shapeshifter",U,"som","39",mythic,u,Owned,Non-foil,false,,,"occasional","",38183
"Waker of Waves",7,"Creature - Whale",U,"m21","84",uncommon,u,Owned,Non-foil,false,,,"core;reanimator;graveyard;control;ramp","",81395
"Elder Deep-Fiend",8,"Creature - Eldrazi Octopus",U,"emn","5",rare,u,Owned,Non-foil,false,,,"occasional","",61326
"Broken Ambitions",1,"Instant",U,"lrw","54",common,u,Owned,Non-foil,false,,,"spells;flash;core;smoothing;mill;aggro;control","",28677
"Condescend",1,"Instant",U,"dd2","28",common,u,Owned,Non-foil,false,,,"core;spells;smoothing;flash;aggrocontrol;aggro;control","",31621
"Dive Down",1,"Instant",U,"xln","53",common,u,Not Owned,Non-foil,false,,,"heroic;flash;spells;aggrocontrol;u3.8;core;aggro","",65118
"Force Spike",1,"Instant",U,"ddj","14",common,u,Owned,Non-foil,false,,,"flash;aggrocontrol;spells;occasional","",46069
"Spell Pierce",1,"Instant",U,"xln","81",common,u,Owned,Non-foil,false,,,"occasional","",65176
"Triton Tactics",1,"Instant",U,"ddt","23",uncommon,u,Owned,Non-foil,false,,,"occasional","",
"Arcane Denial",2,"Instant",U,"a25","41",common,u,Owned,Non-foil,false,,,"occasional","",66996
"Counterspell",2,"Instant",U,"tmp","57",common,u,Not Owned,Non-foil,false,,,"flash;spells;aggrocontrol;u2.0;core;aggro;control","",9631
"Into the Roil",2,"Instant",U,"zen","48",common,u,Not Owned,Non-foil,false,,,"spells;flash;aggrocontrol;u2.74;u4.7;core;aggro;control","",34448
"Mana Leak",2,"Instant",U,"mm2","50",common,u,Not Owned,Non-foil,false,,,"flash;spells;aggrocontrol;u2.0;core;aggro;control","",57220
"Memory Lapse",2,"Instant",U,"ema","60",common,u,Owned,Non-foil,false,,,"occasional","",60923
"Negate",2,"Instant",U,"m15","71",common,u,Not Owned,Non-foil,false,,,"flash;spells;aggrocontrol;u2.0;occasional","",53276
"Remand",2,"Instant",U,"mm2","55",uncommon,u,Owned,Non-foil,false,,,"core;aggrocontrol;smoothing;flash;spells;aggro;control","",57372
"Withdraw",2,"Instant",U,"pcy","54",common,u,Owned,Non-foil,false,,,"flash;spells;aggrocontrol;blink;occasional","",14263
"Cackling Counterpart",3,"Instant",U,"mm3","32",rare,u,Owned,Non-foil,false,,,"occasional","",63297
"Complicate",3,"Instant",U,"ons","76",uncommon,u,Owned,Non-foil,false,,,"core;smoothing;aggrocontrol;flash;spells;control","",17849
